corp_code,corp_name,corp_name_eng,stock_name,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt
00173102,(주)모나리자,"MONALISA CO.,LTD",모나리자,012690,주광옥,Y,1101110220882,1098107177,서울특별시 동작구  보라매로5길 15 전문건설회관빌딩 21층 (주)모나리자,www.monarisa.co.kr,,02-829-8800,829-8899,17902,19771028,12
00155319,포스코홀딩스(주),POSCO Holdings Inc.,POSCO홀딩스,005490,"대표이사 회장    최정우, 대표이사 사장    전중선",Y,1746110000741,5068100017,서울특별시 강남구 테헤란로 440 포스코센터,www.posco.co.kr,,054-220-0114,0562)220-6000,2411,19680401,12
01095704,케이엠제약(주),"KMPHARMACEUTICAL Co.,Ltd.",케이엠제약,225430,강일모,K,1101115779909,4208600149,경기도 평택시 포승읍 평택항로268번길 121 -,kmkmp.com,,02-3477-8422,02-3477-8423,204,20150710,12
00527464,(주)에이치시티,"HCT CO., LTD.",에이치시티,072990,허 봉 재,K,1344110015635,1268145399,경기도 이천시 마장면 서이천로578번길 74,www.hct.co.kr,,031-645-6300,031-645-6325,72911,20000512,12
01251489,라온피플 주식회사,LaonPeople Inc.,라온피플,300120,이석중,K,1311110246859,1298641679,경기도 성남시 분당구 판교로 723 분당테크노파크B동 402-1호,www.laonpeople.com/,,1899-3058,,582,20100118,12
01072518,(주)디피코,"DPECO CO.,LTD.",디피코,163430,송신근,N,1350110081948,1348140167,강원도 횡성군 우천면 우천산업단지로 60-44 2층,www.dpeco.com,,033-340-4800,031-441-7626,302,19980701,12
00527491,(주)하이드로리튬,Hydro Lithium Inc,하이드로리튬,101670,조경순,K,1101111125289,1388110821,경기도 광주시  오포읍 오포안로 46-10,,,031-466-4822,031-766-4821,2511,19950127,12
00577016,(주)수산아이앤티,"SOOSAN INT Co., LTD.",수산아이앤티,050960,이홍구,K,1101111518830,2078151341,"서울특별시 강남구 밤고개로5길 13 (수서동, 수산빌딩)",www.soosanint.co.kr,,02)541-0073,025410204,582,19980303,12
01575361,세븐브로이맥주 주식회사,"Sevenbrau Co.,Ltd.",세븐브로이맥주,,김강삼,E,2845110012696,2248151730,강원도 횡성군 공근면 경강로초원6길 60,www.sevenbrau.com/,,0226591950,,11112,20111001,12
00116426,(주)코센,"KOSSEN Co.,Ltd.",코센,009730,김광수,K,1101110162191,2068134034,전라북도 부안군  행안면 부안농공단지길 29,www.kossen.co.kr,,02-598-5133,02-598-5362,2413,19740325,12
00838962,알서포트(주),"RSUPPORT Co., Ltd.",알서포트,131370,서형수,K,1101114398859,1148682265,"서울특별시 송파구 위례성대로 10 8층, 9층, 10층, 11층, 12층 (방이동, 에스타워)",www.rsupport.com,http://www.rsupport.com/AboutUs/Pubdisclosures,070-7011-3900,02-414-2721,58222,20100722,12
01110076,(주)에이트원,"AIIT ONE Co., Ltd.",에이트원,230980,최철순,K,1101115868041,7218600251,"경기도 광명시 새빛공원로 67 A동 2508호(일직동, 광명역자이타워)",www.aiitone.com,,02-852-1007,02-851-0888,582,20151022,12
01020269,(주) 탈로스,"Talos Co., Ltd.",탈로스,434190,채재호,N,2811110093358,1288602052,경기도 안양시 동안구 학의로 282 금강펜테리움IT타워 1701호~1708호,www.talos.or.kr,,0313376500,0313376505,28202,20050330,12
00351579,에스지에이(주),"SGA Co.,Ltd",SGA,049470,김신환,K,1101111487267,1098152385,"서울특별시 송파구 정의로8길 4 케이디70, 1004호",www.sgacorp.kr,,070-7308-9319,02-576-1811,582,19971121,12
00978075,(주)렌딩머신,"LendingMachine Co., Ltd.",렌딩머신,179720,이상규,N,1101114796392,1208778972,"서울특별시 강남구 논현로150길 23 3층 (논현동, 연호빌딩)",www.lendingmachine.co.kr,,02-6207-2400,02-6207-2402,582,20120215,12
01504910,유안타제8호기업인수목적 주식회사,Yuanta 8 SPECIAL PURPOSE ACQUISITION COMPANY,유안타제8호스팩,367480,정동훈,K,1101117638393,5578601853,"서울특별시 중구 을지로 76(을지로2가, 유안타증권)",,,02-3770-2000,,661,20200928,12
01578076,농업회사법인 순천만가든마켓 주식회사,Agricultural Company SuncheonmanGardenMarket  Corporation ,농업회사법인순천만가든마켓,,채승연,E,2013110088971,6598102473,전라남도 순천시 생태배움길 21 (연향동),,,0617492820,,46,20211027,12
00353762,(주)키이스트,"KEYEAST Co., Ltd.",키이스트,054780,"박성혜, 남소영 (공동대표)",K,1101111327869,1208166644,서울특별시 강남구 학동로11길 30 -,www.keyeast.co.kr,,02-3444-2002,02-3444-4290,59130,19961008,12
00957568,(주)에스엘바이오닉스,"SL Vionics Co., Ltd.",에스엘바이오닉스,214310,"박일홍, 손성진(각자대표)",K,1311110191004,1298611651,경기도 용인시 기흥구 원고매로2번길 49(고매동),http://www.slvionics.com/,www.semiconlight.com,031-282-6425,031-282-6426,2612,20070704,12
00415628,(주)세진중공업,"SEJIN HEAVY INDUSTRIES CO., LTD.",세진중공업,075580,최양환,Y,2301110060126,6108137716,울산광역시 울주군 온산읍 당월로 216-18,www.sejinheavy.com,,052-231-8000,052)239-7010,31114,19990920,12
01259232,(주)노바텍,"NOVATECH Co., Ltd.",노바텍,285490,오춘택,K,1351110083661,1238609157,"경기도 용인시 기흥구 흥덕중앙로 120 1101호, 1105호, 1106호, 1107호, 1111호, 1112호, 1113호(영덕동, ？",www.mynovatech.com,,031-627-5290,,339,20070223,12
01029394,(주)에코마케팅,"ECHOMARKETING Co.,Ltd.",에코마케팅,230360,김철웅,K,1101112743866,2208660192,"서울특별시 강남구 학동로 343 14층(논현동, 포바강남타워)",www.echomarketing.co.kr,,02-2182-1100,02-582-4377,71310,20030324,12
00908155,NH농협손해보험,"NongHyup Property & Casualty Insurance Co., Ltd.",NH농협손해보험,,최문섭,E,1101114809369,1048639719,서울특별시 서대문구 충정로 60 KT&G 서대문타워,www.nhfire.co.kr,,02-3786-7500,02-3786-7740,65121,20120302,12
00756163,(주)볼빅,VOLVIK INC.,볼빅,206950,홍승석,N,1545110040511,3038153007,충청북도 음성군 대소면 대금로 628,www.volvik.co.kr,,02-424-5211,02-424-5215,333,20081201,12
00112332,미래에셋생명보험(주),"MIRAE ASSET Life Insurance CO., Ltd.",미래에셋생명,085620,"변재상, 김재식",Y,1601110014483,3058108605,서울특별시 영등포구 국제금융로 56 미래에셋대우빌딩,life.miraeasset.com,,02-1588-0220,02-3271-5023,65110,19880307,12
00141273,웰바이오텍(주),"WELLBIOTEC CO.,LTD",웰바이오텍,010600,구세현,Y,1101110179659,1198104065,서울특별시 강남구 영동대로106길 17 5층,www.wellbiotec.co.kr,www.wellbiotec.co.kr,02-6902-1300,02)864-1071,461,19750419,12
00422284,메가스터디(주),"MegaStudyCo.,Ltd.",메가스터디,072870,"손주은, 손은진(각자 대표이사)",K,1101112024026,2148664631,"서울특별시 서초구 효령로 304 24층(서초동, 국제전자센터)",www.megastudyholdings.com,,02-6984-6811,02-6984-6998,581,20000712,12
00618401,크루셜텍(주),"Crucialtec Co., Ltd.",크루셜텍,114120,안건준,K,1648110019948,3128148041,"경기도 용인시 기흥구 기흥로 58-1 기흥ICT밸리 SK V1 A동 19층 1906호, 크루셜텍",crucialtec.com,,031-8060-3000,041-913-0009,262,20010420,12
01004775,DL에너지(주),"DL Energy Co., Ltd.",DL에너지,,이정욱,E,2844110075258,2318103444,경기도 포천시 창수면 포천로2797번길 17,,,02-6711-4913,,71531,20131231,12
00800145,(주)서진오토모티브,"Seojin Automotive Co.,Ltd.",서진오토모티브,122690,고만윤,K,1101114264828,1078730882,경기도 시흥시 공단1대로 313,www.secoautomotive.com,,031-496-1500,031-499-7761,303,20100119,12
00482426,인화정공(주),"Inhwa Precision Co., Ltd.",인화정공,101930,이인,K,1942110032988,6098136060,경상남도 창원시 의창구  차룡로14번길 55 인화정공(주) (팔용동),www.ihpre.co.kr,,055-299-0954,055-299-0366,31114,19990108,12
00540641,(주)동양고속,DONGYANG EXPRESS CORP.,동양고속,084670,백남근,Y,1341110131073,1388128578,경기도 안양시 동안구 흥안대로 67,www.dyexpress.co.kr,,02-535-3111,02-536-6725,49220,20050704,12
00245898,에스에이치엔엘(주),SH&L Inc.,에스에이치엔엘,050320,이원호,E,1101111185423,2118610077,"서울특별시 성동구 성수일로 111 704호(성수동1가, 선명스퀘어)",rs-t.kr,,02-3443-5811,02-853-7186,259,19950809,12
00525882,(주)크레버스,"Creverse, Inc.",크레버스,096240,이충국,K,1101112541575,2118716710,서울특별시 강남구 테헤란로 521 파르나스타워 21층,creverse.com,,02-3429-9407,02-3454-9449,855,20020605,12
00295370,제이앤케이인더스트리(주),"AIBIT Co., Ltd.",제이앤케이인더스트리,039230,최지훈,E,1101111284259,1198121292,"서울특별시 금천구 디지털로9길 99 309호(가산동, 스타밸리)",aibit.co.kr,,02-6925-5195,02-6925-5433,272,19960619,12
00408956,(주)제넨바이오,GenNBio Inc.,제넨바이오,072520,"김성주, 김춘학",K,1701110150847,5148133009,경기도 평택시 청북읍 드림산단2로 80 -,gennbio.com,,031-606-3120,053-665-8866,464,19990514,12
00541163,(주)이엠텍,"EM-Tech.CO.,LTD.",이엠텍,091120,"정승규, 이석근",K,1801110348945,6218142053,경상남도 창원시 성산구 창원대로1144번길 40 (주)이엠텍,www.em-tech.co.kr,,055-710-6000,055-710-6100,262,20010118,12
00152589,(주)코리아나화장품,"COREANA COSMETICS CO., LTD",코리아나,027050,유학수,K,1101110597166,3128107545,충청남도 천안시 서북구 성거읍 삼곡2길 6,www.coreana.co.kr,www.coreana.com,02  -580 -8522,0317227011,20423,19881115,12
01027794,(주)브이원텍,"V-ONE TECH CO., LTD.",브이원텍,251630,김선중,K,1311110164978,1298198032,"경기도 성남시 분당구 대왕판교로 660, A-710 (삼평동, 유스페이스1)",www.v-one.co.kr,,031-607-5540,031-607-5542,29272,20060530,12
01021949,(주)덱스터스튜디오,"Dexter studios Co., Ltd.",덱스터,206560,"김욱, 강종익",K,2850110209804,1288668864,"서울특별시 마포구 매봉산로 75 1801호, 1901호(상암동,디디엠씨)",www.dexterstudios.com,,02-6391-7000,02-6391-7100,59120,20111229,12
00416654,유엔젤(주),UANGEL CORPORATION,유엔젤,072130,유지원,Y,1311110041192,1298129383,경기도 성남시 분당구 황새울로240번길 3,www.uangel.com,,031-710-6200,031-710-6301,631,19990714,12
01114586,주식회사 셀레믹스,"Celemics, Inc.",셀레믹스,331920,"김효기, 이용훈",K,1101114481282,1198635850,"서울특별시 금천구 가산디지털1로 131, A동 19층 및 20층 2004호 외",www.celemics.com/,,02-6746-8067,02-6746-8073,21101,20101129,12
00331016,(주)에프앤가이드,FnGuide Inc.,에프앤가이드,064850,"김군호, 이철순",K,1101112017922,2208191972,서울특별시 강서구 마곡중앙2로 61,www.fnguide.com,http://corp.fnguide.com/fng/index.fng,02-769-7700,02-769-7788,639,20000705,12
00146427,(주)일야,"ILYA CO., LTD.",일야,058450,강정훈,K,1101110226327,1398101169,인천광역시 남동구  은봉로 129,www.ilya.co.kr,,070-5220-3960,032-815-3509,222,19780224,12
00249502,(주)골드앤에스,"Gold&S Co.,Ltd",골드앤에스,035290,신승호,K,1101111100926,1208163837,"서울특별시 영등포구 국회대로74길 12 9층 901호 (여의도동,남중빌딩)",www.wfminc.co.kr,,02-565-4874,02-565-4885,581,19941114,12
00144012,(주)원풍,WonpoongCorporation,원풍,008370,윤 기 로,K,1101110138382,1098104258,서울특별시 강서구 공항대로 343 원풍빌딩 9층,www.wonpoong.co.kr,,02-3665-5321,0236655744,22212,19730106,12
00190321,(주)케이티,KT CORPORATION,케이티,030200,구현모,Y,1101111468754,1028142945,경기도 성남시 분당구 불정로 90 KT 본사,www.kt.com,,031-727-0114,02-3495-5914,612,19811210,12
00197759,미래산업(주),MIRAE CORPORATION,미래산업,025560,선종업,Y,1243110030413,3128115889,충청남도 천안시 서북구 백석공단7로 65 (백석동),www.mirae.co.kr,,041-621-5070,041)559-8789,27219,19901226,12
00442455,(주)코스나인,"Cosnine Co., Ltd",코스나인,082660,"백광열, 최영권 (각자대표)",K,1760110025872,5138122697,경기도 김포시 양촌읍 학운산단2로 27 (주)코스나인,cosnine.com,,031-606-8700,053-605-8519,204,20010620,12
00334624,(주)팍스넷,"PAXNet, Inc.",팍스넷,038160,고성웅,E,1101111698830,2028163804,"서울특별시 성동구 뚝섬로1길 63 10층 (성수동1가, 영창디지털타워)",www.paxnet.co.kr,,000-1688-5010,02-2174-8300,63991,19990521,12
00164788,현대모비스(주),"HYUNDAI MOBIS CO.,LTD",현대모비스,012330,"정의선, 조성환",Y,1101110215536,1018116406,서울 강남구 역삼1동 로담코빌딩 140-2,www.mobis.co.kr,www.mobis.co.kr,02-2018-5114,02-2173-5223,303,19770701,12
00209443,우리금융캐피탈(주),"WOORI FINANCIAL CAPITAL CO.,LTD",우리금융캐피탈,033660,박경훈,E,1601110038524,3068118407,대전광역시 서구 대덕대로 239,www.woorifcapital.com,,02-2017-5400,02-6308-5036,64911,19940221,12
00261887,(주)티엘아이,TLIInc.,티엘아이,062860,홍세경,K,1311110035640,1298126130,"경기도 성남시 중원구 양현로 405번길 12 티엘아이빌딩 7층, 8층, 9층 10층",www.tli.co.kr,,031-784-6800,031-784-6989,2611,19981028,12
00266934,(주)파루,"PARU CO., LTD.",파루,043200,강문식,K,2013110006783,4168113067,전라남도 순천시 서면 선평리 42-2,www.paru.co.kr,,061 -759 -5190,061 -751 -5116,281,19950828,12
00475976,(주)인콘,"INCON Co., Ltd.",인콘,083640,"최영훈, 김성곤(각자대표)",K,1101112039934,1138163616,경기도 안양시 동안구 귀인로 1 4층(호계동),www.in-con.biz,,031-455-8600,02-6095-8602,264,20000801,12
00251738,미래에셋캐피탈주식회사,"MIRAE ASSET CAPITAL CO., LTD.",미래에셋캐피탈,,이만희,E,2001110076179,4108140265,서울특별시 중구 을지로5길 26 미래에셋센터원 웨스트타워 6층,capital.miraeasset.com,,02-3774-7491,02-3774-5949,64919,19970604,12
00124656,비씨카드 주식회사,"BC CARD CO., LTD.",비씨카드,,최원석,E,1101110356695,2148137726,서울특별시 중구 을지로 170,www.bccard.com,,02-1588-4000,02-500-3156,64913,19830907,12
00624749,주식회사 에스피시스템스,"SP SYSTEMS CO.,LTD.",에스피시스템스,317830,"심상균, 심효준",K,1801110078534,6178116288,경상남도 양산시 어곡공단로 123,www.spsystems.co.kr,,055-371-5603,055-371-5606,29280,19880309,12
01031229,(주)지티지웰니스,"GTG Wellness Co.,Ltd",지티지웰니스,219750,"한윤석,임지현",K,1101111651101,2298136321,경기도 용인시 수지구 신수로 767,www.gtgwellness.co.kr,,070 - 7874 - 1069,031-702-4417,271,19990212,12
01060735,(주)로지스몬,"Logis Mon, Inc.",로지스몬,223220,"최태교, 이석준(공동대표) ",N,1101115206283,2308101555,서울특별시 동대문구 황물로 60 4층 406호 (답십리동),ipmonster.co.kr,,02-1600-9727,02-6442-9909,5821,20130816,12
00165459,GS칼텍스(주),GS Caltex Corporation,GS칼텍스,,허세홍,E,1101110078819,1168119123,"서울특별시 강남구 논현로 508 (역삼동, GS강남타워)",www.gscaltex.co.kr,,2005-1114,565-5131,19210,19670519,12
00287812,에코바이오홀딩스(주),"EcoBio Holdings Co., Ltd.",에코바이오,038870,송효순,K,1101111448128,2298128817,서울 서초구 서초동 1302-7 토탈에코빌딩,www.ecoenergyholdings.com,,02-3483-2900,02-3483-2929,741,19970804,12
01583953,(주)티엘엔지니어링,"TL Engineering  Co., Ltd.",티엘엔지니어링,413300,서충옥,N,1101112669260,1078627639,경기도 광명시 원광명로37번길 32,tleng.kr,,02-2135-1668,0505-055-1669,72129,20021209,12
00796471,(주)디지비캐피탈,"DGB CAPITAL Co., Ltd.",디지비캐피탈,,서정동,E,1101114178730,2208787408,"서울특별시 중구 남대문로 125 8층 (다동, 디지비금융센터)",www.dgbcap.co.kr,,02-1566-0050,0505-047-2023,64911,20090914,12
00147152,(주)유니크,UNICK CORPORATION,유니크,011320,안정구,K,1801110024496,6038103047,경상남도 김해시  진영읍 서부로179번길 90 (주)유니크,www.unick.co.kr,,055-340-2000,055-345-2011,303,19760421,12
00125521,에스엘(주),SL CORPORATION,에스엘,005850,"이성엽,김한영,김정현",Y,1701110000034,5048100078,대구광역시 북구 검단공단로 32 -,www.slworld.com,,053-850-8511,0538508558,303,19681107,12
01201590,에브리봇(주),EVERYBOT Inc.,에브리봇,270660,정우철,K,1311110396927,1298692106,경기도 성남시 분당구 판교역로 231 에이치스퀘어 에스동10층,www.everybot.net,,031-759-8917,031-759-8916,28519,20150106,12
01047415,(주)정다운,"JUNGDAWN Co., Ltd.",정다운,208140,김 선 철,K,1101115542497,1078831874,전라남도 나주시 동수농공단지길 137-17 (주)정다운,jungdawn.co.kr,,061-334-5289,02-6923-7986,101,20141020,12
00963000,(주)썬테크,"SUNTECH.CO.,LTD",썬테크,217320,이선휴,N,2013110007757,4168114765,전라남도 순천시 해룡면 율촌산단4로 101,www.sun-tech.co.kr,,061-721-2222,061-722-3388,28111,19960529,12
00164362,(주)행남사,HAENGNAM INC.,행남사,008800,김대홍,E,2011110000276,4118101362,전남 목포시 고하대로 795(연산동),www.haengnam.co.kr,,061 -280 -2000,02-3019-3055,107,19730514,12
00143794,(주)원림,WONLIM CORPORATION,원림,005820,신성엽,Y,1101110095152,1198101618,서울특별시 서초구  남부순환로 2495 원림빌딩 9층,www.wonlim.co.kr,,02-523-9236,02-581-6543,13225,19681028,12
00112679,대창단조(주),"DAECHANG FORGING CO.,LTD",대창단조,015230,박권일,Y,1801110039396,6068130107,경상남도 김해시 생림면 봉림리 1072-1,www.dcf.co.kr,,055-329-3911,055-329-5097,303,19810101,12
00135962,신라교역(주),"SILLA CO.,LTD",신라교역,004970,김호운,Y,1101110008254,2198100919,서울특별시 강동구 고덕비즈밸리로6길 30 -,www.sla.co.kr,,02-3434-9900,02-417-5616,03111,19670306,12
00349097,(주)케이티스카이라이프,"KT Skylife Co.,Ltd.",케이티스카이라이프,053210,김철수,Y,1101112149436,1178131120,"서울특별시 마포구 매봉산로 758층, 9층",www.ktskylife.co.kr,,02-2003-3000,2003-3299,60229,20010112,12
00470829,한솔인티큐브(주),"Hansol Inticube Co., Ltd.",한솔인티큐브,070590,류창성,K,1101112915605,1208661116,"서울특별시 마포구 월드컵북로 396, 14층 (상암동, 누리꿈스퀘어비즈니스타워)",www.hansolinticube.com,,02)6005-3000,02)6005-3535,62010,20031215,12
00264547,(주)케이지이니시스,"KGINICIS CO.,LTD.",KG이니시스,035600,유승용,K,1101111602667,2208155597,"서울특별시 중구 통일로 92 케이지타워 14,15층",www.inicis.com,,02-1588-4954,02-3430-5998,58221,19981103,12
00109718,(주)사조대림,SAJODAERIM CORPORATION,사조대림,003960,김상훈,Y,1101110042278,1148134190,서울특별시 서초구 남부순환로 2159,dr.sajo.co.kr,,02-3470-6000,(02)523-8900,10211,19640501,12
00925189,(주)신화콘텍,"Shin Hwa Contech Co.,Ltd.",신화콘텍,187270,이정진,K,1101112637291,2158633301,경기도 안양시 만안구 일직로94번길 3 (석수동),www.sh-ct.co.kr,,031-432-1527,031-433-1529,2812,20021023,12
00374020,(주)이엘피,ELP Corp.,이엘피,063760,이재혁,K,1101111790834,2148640186,경기도 화성시 삼성1로2길 29 -,www.elp.co.kr,http://www.elp.co.kr,031-8036-5800,031-8036-5803,27212,19991016,12
00205687,(주)휴먼엔,"Human N, Inc.",휴먼엔,032860,이대식,K,1101110412778,2118129606,경기도 가평군 상면 수목원로386번길 75 -,www.glosferlabs.com,,02-3452-8449,02-3453-8592,383,19860101,12
01075126,커머스마이너 주식회사,"Commerce miner Co., Ltd.",커머스마이너,223310,유병길,K,1101114519281,1138645520,서울특별시 강남구 언주로 702 경남제약타워 10층,www.esv.co.kr,,070-7860-9660,070-7860-9663,58221,20110119,12
00910840,(주)윈하이텍,"WINHITECH CO., Ltd.",윈하이텍,192390,변천섭,K,1545110049654,3038163280,충청북도 음성군 삼성면 하이텍산단로 99,www.winhitech.co.kr,,02-854-2818,02-854-2854,2511,20110915,12
00220622,서호전기(주),"Seoho Electric Co.,Ltd.",서호전기,065710,김승남,K,1101110591928,1238126054,경기도 안양시 동안구  귀인로 9,www.seoho.com,,031-463-6781,(031)468-3311,28123,19880923,12
00325185,GS파워(주),"GS Power Co., Ltd.",GS파워,,조효제,E,1341110074744,1238157770,경기도 안양시 동안구 부림로 100,www.gspower.co.kr,,02-2005-4103,02-2005-4110,3511,20000607,12
